date,open,high,low,close,volume,rsi
2021-07-30,57.450001,57.669998,57.130001,57.240002,7336500.0,52.58105415940768
2021-07-29,58.009998,58.599998,57.509998,57.639999,10601800.0,53.36567792971855
2021-07-28,57.029999,57.43,56.810001,56.810001,10798900.0,51.90630354978515
2021-07-27,57.689999,57.689999,56.580002,57.459999,15839100.0,53.1836244885751
2021-07-26,57.52,57.619999,56.75,56.790001,19736700.0,51.990193116667584
2021-07-23,58.360001,58.720001,58.02,58.23,14129800.0,54.94006813294291
2021-07-22,58.150002,58.48,57.880001,57.959999,48604900.0,54.4653305314006
2021-07-21,57.91,58.060001,57.529999,57.77,19553100.0,54.13206970827454
2021-07-20,57.27,57.900002,56.759998,57.540001,65540200.0,53.73033520249057
2021-07-19,56.439999,56.880001,56.0,56.48,41068100.0,51.82460380197939
2021-07-16,56.790001,57.48,56.400002,56.790001,28642800.0,52.44367608230636
2021-07-15,58.790001,58.860001,56.849998,56.959999,27055800.0,52.78252203167914
2021-07-14,60.09,60.18,59.630001,59.799999,23737800.0,59.026426782828466
2021-07-13,60.09,60.66,60.07,60.610001,8321600.0,61.04483440997449
2021-07-12,60.290001,60.93,60.23,60.5,10067900.0,60.866742165592434
2021-07-09,59.119999,59.91,59.07,59.630001,6173600.0,59.42912749588658
2021-07-08,59.450001,59.669998,58.830002,59.259998,6895000.0,58.798279967606994
2021-07-07,59.759998,59.82,59.299999,59.759998,6434700.0,60.03451747874037
2021-07-06,60.41,60.560001,59.869999,59.900002,6893600.0,60.38289307730431
2021-07-02,60.259998,60.880001,60.07,60.790001,5197300.0,62.64767728354574
2021-07-01,59.869999,60.439999,59.709999,60.310001,4754700.0,61.89222986435142
2021-06-30,60.060001,60.290001,59.720001,59.900002,4575500.0,61.23595871579002
2021-06-29,60.119999,60.34,59.91,60.18,4667300.0,61.94997666542136
2021-06-28,59.779999,60.369999,59.73,60.07,5822300.0,61.77839322175996
2021-06-25,59.049999,59.419998,58.810001,59.349998,9532500.0,60.639864123413346
2021-06-24,58.389999,59.07,58.330002,58.419998,5247900.0,59.09759796479905
2021-06-23,58.849998,58.849998,57.880001,57.98,5804800.0,58.340751119573
2021-06-22,58.16,58.32,57.689999,57.889999,4899900.0,58.185652753893784
2021-06-21,58.200001,58.459999,57.98,58.310001,5305100.0,59.19351225703225
2021-06-18,57.830002,58.599998,57.57,58.369999,14107300.0,59.337400095576065
2021-06-17,58.060001,58.459999,57.869999,58.349998,4875000.0,59.30508308673357
2021-06-16,58.860001,59.34,58.279999,58.41,6968400.0,59.44397724029217
2021-06-15,58.990002,59.009998,58.580002,58.84,5940400.0,60.43808053801408
2021-06-14,58.959999,58.970001,58.32,58.759998,6596700.0,60.31708043605015
2021-06-11,59.130001,59.150002,58.529999,58.77,7684400.0,60.339691632844406
2021-06-10,58.139999,58.880001,57.950001,58.84,7558300.0,60.49523147224242
2021-06-09,56.959999,57.66,56.860001,57.599998,7486500.0,58.644594364504776
2021-06-08,56.799999,56.799999,55.919998,56.310001,5164700.0,56.57039741981156
2021-06-07,56.619999,56.959999,56.349998,56.400002,6282600.0,56.765060468324165
2021-06-04,56.639999,57.060001,56.57,56.799999,4868800.0,57.62877283349501
2021-06-03,55.779999,56.389999,55.73,56.25,5497700.0,56.74184712228251
2021-06-02,55.880001,56.23,55.860001,56.099998,6077800.0,56.49846875555357
2021-06-01,57.139999,57.16,56.150002,56.25,6757100.0,56.811709273057424
2021-05-28,56.75,57.43,56.700001,56.77,5563100.0,57.902319552474545
2021-05-27,56.209999,57.360001,56.200001,56.889999,12365400.0,58.1547941056483
2021-05-26,57.009998,57.060001,56.52,56.540001,4063400.0,57.626679523082814
2021-05-25,57.330002,57.360001,56.759998,56.91,7404300.0,58.39013371430981
2021-05-24,57.509998,57.720001,57.43,57.470001,4324500.0,59.560528170098245
2021-05-21,57.580002,57.73,57.349998,57.400002,7252800.0,59.46098876362363
2021-05-20,56.970001,57.630001,56.880001,57.439999,10172300.0,59.54305837332649
2021-05-19,56.25,56.360001,55.950001,56.34,10347200.0,57.97991760897738
